Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.088343+00:00] Imported: 2, batch_size: 50
[2022-12-14 20:32:02.090778+00:00] Imported: 3, batch_size: 50
[2022-12-14 20:32:02.093068+00:00] Imported: 4, batch_size: 50
[2022-12-14 20:32:02.095532+00:00] Imported: 5, batch_size: 50
[2022-12-14 20:32:02.097675+00:00] Imported: 6, batch_size: 50
[2022-12-14 20:32:02.099756+00:00] Imported: 7, batch_size: 50
[2022-12-14 20:32:02.101882+00:00] Imported: 8, batch_size: 50
[2022-12-14 20:32:02.104013+00:00] Imported: 9, batch_size: 50
[2022-12-14 20:32:02.106399+00:00] Imported: 10, batch_size: 50
[2022-12-14 20:32:02.108407+00:00] Imported: 11, batch_size: 50
[2022-12-14 20:32:02.110288+00:00] Imported: 12, batch_size: 50
[2022-12-14 20:32:02.112057+00:00] Imported: 13, batch_size: 50
[2022-12-14 20:32:02.113724+00:00] Imported: 14, batch_size: 50
[2022-12-14 20:32:02.115805+00:00] Imported: 15, batch_size: 50
[2022-12-14 20:32:02.118243+00:00] Imported: 16, batch_size: 50
[2022-12-14 20:32:02.120085+00:00] Imported: 17, batch_size: 50
[2022-12-14 20:32:02.121744+00:00] Imported: 18, batch_size: 50
[2022-12-14 20:32:02.123283+00:00] Imported: 19, batch_size: 50
[2022-12-14 20:32:02.124960+00:00] Imported: 20, batch_size: 50
[2022-12-14 20:32:02.126522+00:00] Imported: 21, batch_size: 50
[2022-12-14 20:32:02.128067+00:00] Imported: 22, batch_size: 50
[2022-12-14 20:32:02.129693+00:00] Imported: 23, batch_size: 50
[2022-12-14 20:32:02.131303+00:00] Imported: 24, batch_size: 50
[2022-12-14 20:32:02.132974+00:00] Imported: 25, batch_size: 50
[2022-12-14 20:32:02.134402+00:00] Imported: 26, batch_size: 50
[2022-12-14 20:32:02.135915+00:00] Imported: 27, batch_size: 50
[2022-12-14 20:32:02.137356+00:00] Imported: 28, batch_size: 50
[2022-12-14 20:32:02.138761+00:00] Imported: 29, batch_size: 50
[2022-12-14 20:32:02.140231+00:00] Imported: 30, batch_size: 50
[2022-12-14 20:32:02.141728+00:00] Imported: 31, batch_size: 50
[2022-12-14 20:32:02.143129+00:00] Imported: 32, batch_size: 50
[2022-12-14 20:32:02.144491+00:00] Imported: 33, batch_size: 50
[2022-12-14 20:32:02.145851+00:00] Imported: 34, batch_size: 50
